,Genre,ZCR_Mean,RMSE_Mean,MFCCS0,MFCCS1,MFCCS2,MFCCS3,MFCCS4,MFCCS5,MFCCS6,MFCCS7,MFCCS8,MFCCS9,MFCCS10,MFCCS11,MFCCS12
0,Hip-Hop,0.085629448295,3.188760519,,-163.77296448,116.69667816,-41.753826141,29.144329071,-15.050157547,18.879371643,-8.9181652069,12.002118111,-4.2531509399,1.3597911596,-2.6829998493,-0.7946318388
1,Hip-Hop,0.05311408639,3.2513861656,,-205.44049072,132.21507263,-16.085823059,41.514759064,-7.6429538727,16.942802429,-5.6512613297,9.5694446564,0.50315696001,8.6735134125,-8.2713766098,0.59447294474
2,Pop,0.077514506876,3.8938100338,,-135.86482239,157.04008484,-53.45324707,17.198896408,6.8680348396,13.934344292,-11.749298096,8.3607110977,-5.1303811073,0.23384548724,-5.4212064743,1.6794785261
3,Folk,0.052378576249,2.953848362,,-225.71331787,139.33282471,-13.097699165,44.533355713,2.4683995247,28.328742981,-9.9314813614,10.810856819,3.0028793812,-0.93769180775,7.1382684708,-6.6252598763
4,Folk,0.040267124772,2.5767612457,,-253.14390564,155.71632385,-16.636627197,23.683815002,6.0459570885,11.692952156,-9.947760582,6.8878135681,-3.2733216286,-6.3409061432,7.6027817726,-5.8513288498
5,Experimental,0.063609175384,10.810443878,,-93.179428101,154.9591217,-47.918079376,19.72303009,0.24254094064,28.145259857,-1.9266662598,1.5714151859,7.4448857307,9.5169372559,1.4625419378,3.8236365318
6,Rock,0.051366023719,7.4833979607,,-112.31394196,213.54124451,-76.825408936,29.49246788,5.2803997993,-23.615722656,24.384254456,2.6614134312,0.62423944473,14.612318039,7.0650262833,6.0876202583
7,Folk,0.050053291023,3.2253904343,,-198.27050781,149.59608459,-33.988357544,24.394317627,-1.7103300095,-1.2259315252,-10.032828331,-13.955784798,-8.5456914902,-10.279504776,-10.899046898,-6.837952137
8,Folk,0.04897832498,2.2925033569,,-247.0917511,169.05477905,-32.878578186,27.442388535,4.231593132,3.6584916115,-3.2396929264,-3.844271183,-7.041082859,-4.8513598442,-7.7776184082,-5.3006124496
9,Folk,0.039316724986,2.5322959423,,-236.16867065,176.96112061,-37.586685181,25.964237213,4.48011446,-1.2634198666,-1.683039546,-7.3095908165,-3.0944843292,-8.0689735413,-8.6397743225,-6.3370661736
