,Genre,Energy,RMSE,ZCR,CQT,Spectral_Contrast,Chromagram,Tempo,MFCCS0,MFCCS1,MFCCS2,MFCCS3,MFCCS4,MFCCS5,MFCCS6,MFCCS7,MFCCS8,MFCCS9,MFCCS10,MFCCS11,MFCCS12,MFCCS13,MFCCS14,MFCCS15,MFCCS16,MFCCS17
0,Blues,10.130677092157388,0.12654171884059906,55032.0,(-4.7210443976842666e-05-0.0003847373003636522j),20.526698693370026,0.2679902167220536,123.046875,-113,121,-19,42,-6,18,-13,15,-12,10,-8,8,-3,5,-5,0,-1,0
1,Blues,5.927914600755605,0.0928729996085167,37140.0,(0.0026061119576023034-0.0003092158459368388j),20.676128259217815,0.25418447306412345,107.666015625,-207,123,8,35,2,21,-8,23,-10,11,-5,5,-2,4,-6,0,0,0
2,Blues,17.18048634372215,0.17191778123378754,50564.0,(-0.0022478025439449678-0.003290965346786643j),22.19751653303379,0.2623347723140932,161.4990234375,-90,140,-29,31,-13,25,-13,11,-11,9,-13,5,-8,-1,-9,2,-7,-1
3,Blues,13.435019998144567,0.13789835572242737,22078.0,(0.002346435118550985-0.00108603295010745j),21.426268151556847,0.2252603547334959,172.265625,-199,150,5,26,1,14,-4,9,0,8,-3,6,-2,-1,-2,0,-3,0
4,Blues,5.467545373224828,0.08872993290424347,67226.0,(-0.00011418425521436648+0.0008156369507511931j),21.466338127703892,0.2621523771463374,135.99917763157896,-160,126,-35,22,-32,10,-23,0,-11,1,-13,-2,-6,-7,-9,-4,-5,0
5,Blues,7.521608208920533,0.10111825913190842,62327.0,(-0.0009183945382263761+0.0011888789841190735j),22.545831032800717,0.24723302061904134,112.34714673913044,-177,118,-17,30,-21,11,-20,3,-8,0,-11,-2,-9,-9,-3,-5,-1,-2
6,Blues,14.795018275314114,0.13739436864852905,48430.0,(-0.0029022779256363575+0.0049888556894958636j),23.429540221028677,0.23840573298488987,123.046875,-190,130,-36,33,11,0,-20,0,-6,-5,-7,-3,-6,-9,-6,-10,-10,-6
7,Blues,11.728108315862936,0.12794940173625946,40731.0,(0.0008585388674804888-0.00012028243105695781j),22.442509342348426,0.2411516198966484,92.28515625,-179,136,-26,39,5,10,-20,8,-11,-3,-8,-6,-3,-8,-8,-8,-10,-10
8,Blues,11.145530391439841,0.13966208696365356,42435.0,(-0.0017558482897206667-0.0009466492028537597j),22.380886050057644,0.2579443080715711,83.35433467741936,-121,122,-14,46,-8,20,-19,23,-11,21,-6,6,-12,5,-5,-1,-7,2
9,Blues,5.607959405123994,0.07961161434650421,52454.0,(-0.00021906825029893048+0.00037114964372949834j),21.16195009433464,0.24623274141782023,129.19921875,-213,115,-11,39,-20,13,-9,9,-14,4,-6,3,0,-5,0,-1,-1,-2
10,Blues,15.148705141140582,0.1389904022216797,41721.0,(-0.0002932392815374076+0.004109886915646109j),21.09467394314581,0.2522540190636452,161.4990234375,-173,137,-23,26,-16,4,-12,5,-2,-1,-1,1,-2,-1,0,-3,0,-1
11,Blues,3.492405356393806,0.0639728531241417,29109.0,(-0.0008217484278723918+0.000978628772544498j),20.80644364103354,0.22136106469004715,161.4990234375,-287,124,5,33,1,14,-4,8,0,6,-4,-3,-5,-6,-2,-2,-3,-1
12,Blues,9.326806976144438,0.11523863673210144,45789.0,(1.0741163044847996e-05+0.0009330633404897405j),22.135715777506615,0.2539918699472544,92.28515625,-207,132,-15,60,0,12,1,-1,-17,8,-2,0,0,2,-5,-9,-9,-2
13,Blues,8.699659784796971,0.1090206503868103,34067.0,(0.0009790141050241062-0.0004213581636140161j),21.419758234197882,0.2558990373995203,107.666015625,-209,124,10,47,6,15,-2,6,-21,10,-5,-2,-3,8,0,0,-2,-1
14,Blues,3.692674836092351,0.06483244895935059,29849.0,(0.0004944025261740579+0.0006917162460576529j),21.62806215006197,0.25368020915951245,151.99908088235293,-305,113,12,45,17,14,4,0,-7,13,8,1,5,8,1,0,0,-3
15,Blues,4.776257671080515,0.07790008187294006,42214.0,(0.0008210352393096746-0.0006402947447532199j),21.36767090105909,0.2566120440112736,99.38401442307692,-238,120,-4,42,5,13,5,1,-16,12,3,-1,0,3,-4,-5,-6,-4
16,Blues,4.747904228413519,0.07876728475093842,40657.0,(0.0001974045124685965-0.0003486223115100433j),21.065897048310305,0.27040348329557773,103.359375,-233,120,-3,39,3,18,-3,4,-14,17,1,2,-1,8,0,-3,-4,0
17,Blues,5.558534272218934,0.08997675031423569,32027.0,(-0.0010604936499844508+0.0015965897279946752j),21.72337789389456,0.26487727408664113,161.4990234375,-245,140,-2,60,18,9,3,0,-16,6,7,-4,1,5,-3,-4,-3,-1
