,Genre,Energy,RMSE,ZCR,CQT,Spectral_Contrast,Chromagram,Tempo,STFT,Autocorrelation,STFT,Spectral_Centroid,Rolloff,MFCCS0,MFCCS1,MFCCS2,MFCCS3,MFCCS4,MFCCS5,MFCCS6,MFCCS7,MFCCS8,MFCCS9,MFCCS10,MFCCS11,MFCCS12
0,Blues,1041.0708391412577,0.0028336546383798122,55050,0.33644102594924213,76.74183396919804,0.005835123443878195,123.046875,15.18368911743164,11670163.0,15.18368911743164,129774.06452515078,896939.3721851954,2564,295,235,151,167,89,67,68,82,63,61,51,41
1,Blues,468.2808661120674,0.002375659765675664,37156,0.3349941379781797,67.8515200517476,0.012387828320089367,107.666015625,8.897664070129395,4250899.5,8.897664070129395,375850.0736486864,3070002.497971498,7764,560,572,264,279,156,200,142,166,104,105,96,64
2,Blues,1576.982354076494,0.002740159397944808,50560,0.4776331538058691,76.13071739532785,0.008969590417834059,161.4990234375,25.781230926513672,27864038.0,25.781230926513672,156467.6433683158,782414.555832556,3319,508,411,144,155,74,106,106,65,67,57,64,60
3,Blues,3029.86424789817,0.006346192676573992,22060,1.0485590215860097,63.38462578454082,0.019606609288549622,172.265625,20.13179588317871,40992764.0,20.13179588317871,184355.9424169546,1471923.54153387,5507,456,257,158,268,126,155,81,92,71,110,48,56
4,Blues,526.3850089408231,0.0023036785423755646,67244,0.06481747031316556,62.98618598696733,0.010584348724106183,135.99917763157896,8.197003364562988,2050813.75,8.197003364562988,343399.9392740415,1612967.6722700195,5195,853,333,193,336,134,93,124,130,99,80,86,89
5,Blues,2017.8820814989292,0.003985336981713772,62349,0.11784242891654544,66.86015589816144,0.01663547107712165,112.34714673913044,11.269150733947754,5489973.5,11.269150733947754,1030482.3696398635,3302139.2577390103,7307,3195,654,485,433,266,169,133,172,100,76,78,80
6,Blues,5819.667164394454,0.00878248829394579,48422,0.2545451123550214,49.51468054631125,0.018112623442453204,123.046875,22.244808197021484,20186666.0,22.244808197021484,437859.39805114287,1674208.2029743528,9656,1932,1307,480,1083,280,152,102,130,153,87,64,79
7,Blues,2953.5448118797003,0.00552854361012578,40721,0.26186784709584615,52.42344899011513,0.01859069625107796,92.28515625,17.556026458740234,23659206.0,17.556026458740234,449568.162454415,1613657.8111430728,6573,1479,591,352,650,136,163,151,171,178,147,83,93
8,Blues,576.4553286058006,0.0015138707822188735,42463,0.6670673174141794,89.2109900889262,0.007302355123418778,83.35433467741936,16.7136287689209,17626672.0,16.7136287689209,163282.8454389628,1256275.6376226475,2622,414,341,193,177,107,57,77,42,58,48,56,61
9,Blues,1131.7802964225837,0.004347067791968584,52496,0.08915504832262203,63.30331397640817,0.014406485208162168,129.19921875,8.395665168762207,3541131.5,8.395665168762207,298236.14122231567,1353441.559182491,6133,798,668,350,531,278,126,68,110,92,84,104,76
10,Blues,7483.57506678708,0.009214714169502258,41735,0.24455416465611277,67.80984525580293,0.015653684466477674,161.4990234375,22.721019744873047,27015168.0,22.721019744873047,205666.8386950411,1415041.5904812096,8144,1083,1028,495,289,160,150,82,108,65,55,57,93
11,Blues,348.0196463297688,0.002497727982699871,29035,0.24611288164207482,53.835503111596694,0.024476618347993872,161.4990234375,5.209227561950684,2580438.0,5.209227561950684,512135.08985637483,2813226.9623377873,5931,996,302,344,441,235,149,189,148,114,93,84,65
12,Blues,1448.7485947119817,0.004040983971208334,45791,0.23397240898169183,45.42735386986893,0.014268846537802042,92.28515625,13.995723724365234,23459504.0,13.995723724365234,257065.39001023042,985892.6098850638,4575,666,934,331,313,101,108,111,96,95,139,92,86
13,Blues,1883.2404890032751,0.004198926966637373,34037,0.2631792534623763,50.7546197036754,0.013886773146157588,107.666015625,13.028987884521484,26243006.0,13.028987884521484,171474.99311974098,1024708.7842360506,1969,541,662,148,102,146,69,76,96,95,90,59,52
14,Blues,565.2944211534633,0.002725818892940879,29867,0.07589682734771226,42.540416159361776,0.013511051362973566,151.99908088235293,5.547142028808594,1353213.5,5.547142028808594,147278.54589291426,870239.2097732759,8194,683,1462,224,250,154,157,167,97,76,89,62,64
15,Blues,762.7553601562292,0.00283593637868762,42246,0.08812233466690225,44.73368099704934,0.011374568922289868,99.38401442307692,7.172801494598389,2472058.25,7.172801494598389,199958.97848447433,668409.7455457682,4378,728,978,383,298,117,119,143,89,76,81,60,60
16,Blues,570.361379454339,0.0026330554392188787,40653,0.09353981893829295,50.08232963386575,0.004657834601100322,103.359375,7.144197463989258,1875199.125,7.144197463989258,152317.1235316949,911571.3900348058,4963,562,1207,396,285,156,100,111,101,102,108,66,65
17,Blues,535.5176622262193,0.0021584394853562117,32025,0.16822841406093503,40.356286789678,0.0068748142148238245,161.4990234375,8.274407386779785,6499570.5,8.274407386779785,231640.77780551524,1110817.315555705,5194,800,796,360,235,99,118,93,129,105,96,71,72
18,Blues,1013.0373601610562,0.0029558183159679174,37192,0.11098604562662902,55.038952985772625,0.01631172909756701,83.35433467741936,7.14568567276001,4576245.0,7.14568567276001,193102.06004686924,1654679.286044424,2874,603,662,163,93,117,73,100,125,123,52,64,48
19,Blues,742.9350023961828,0.002556825987994671,39001,0.1290159076733266,42.42430913417486,0.008817423546300801,123.046875,9.3113431930542,4546164.5,9.3113431930542,249522.941160882,1228681.008703866,5578,536,1166,312,467,91,97,159,77,104,134,80,77
20,Blues,689.1269126721302,0.0025033007841557264,34903,0.09947108447659524,51.655517955545676,0.006613551352577841,135.99917763157896,6.286651134490967,2708040.5,6.286651134490967,102976.48428493706,838585.1085528948,2988,397,601,175,117,100,79,69,60,72,71,74,62
21,Blues,987.6678521502403,0.0032271964009851217,31738,0.23835006304724513,41.76881970040271,0.018305943968832835,99.38401442307692,10.291751861572266,6151197.0,10.291751861572266,291480.27835359226,1372509.5730822864,6342,1001,1285,371,248,130,119,104,95,85,79,72,70
22,Blues,1433.1783760168123,0.003673658473417163,38786,0.23728559625409035,46.0955560867184,0.014364431807705073,99.38401442307692,12.724577903747559,6683171.0,12.724577903747559,314209.292176462,1358679.1490469836,6508,959,1163,384,304,166,105,127,151,82,114,77,66
23,Blues,1119.6504022177483,0.00354755949229002,34748,0.15818712769883916,37.50727084472982,0.016796252079194614,95.703125,10.757772445678711,7896522.5,10.757772445678711,131778.37255623398,609046.313172288,4149,507,1245,211,153,95,100,87,97,98,104,87,116
24,Blues,612.5365468532996,0.0025114163290709257,31355,0.13030197490592918,35.79419251731761,0.028848529890565487,103.359375,7.704362869262695,5069459.0,7.704362869262695,176458.38354515238,1204760.3273858777,5918,500,1343,311,230,155,121,150,94,68,76,73,126
25,Blues,1235.1233553915713,0.0031149154528975487,34247,0.16097431862161968,39.68789029394015,0.015590992444937009,92.28515625,8.552151679992676,4048957.5,8.552151679992676,138699.68824639297,864997.918602076,3980,338,1579,298,183,173,96,98,75,91,101,85,86
