,Genre,Energy_Mean,RMSE_Mean,ZCR_Mean,CQT_Mean,Spectral_Contrast_Mean,Chromagram_Mean,Tempo_Mean,STFT_Mean,Autocorrelation_Mean,STFT_Mean,Spectral_Centroid_Mean,Rolloff_Mean,MFCCS0,MFCCS1,MFCCS2,MFCCS3,MFCCS4,MFCCS5,MFCCS6,MFCCS7,MFCCS8,MFCCS9,MFCCS10,MFCCS11,MFCCS12
0,Blues,40.49049150566333,0.1301923245191574,55050,0.0015732670166773513,20.526698693370026,0.2783850029894842,123.046875,3.7465364584932104e-05,590.4500732421875,3.7465364584932104e-05,1784.1658495387549,3776.112794101653,137,156,-18,54,-11,17,6,7,8,2,11,-3,8
1,Blues,23.686238860010445,0.09592486172914505,37156,0.00393990999663096,20.676128259217815,0.2663559742398206,107.666015625,2.14797692024149e-05,1313.7154541015625,2.14797692024149e-05,1530.17667874608,3450.3335833272913,52,131,-5,66,-1,15,11,10,15,2,10,0,5
2,Blues,68.63199637153141,0.1755816638469696,50560,0.007813923521627545,22.19751653303379,0.2726971633800016,161.4990234375,9.222671906172764e-06,577.0480346679688,9.222671906172764e-06,1552.8118647610036,3014.9482036687937,144,175,-12,59,-6,20,2,0,5,-5,7,0,6
3,Blues,53.67173455140972,0.14105311036109924,22060,0.003624469780263111,21.426268151556847,0.25244152599123565,172.265625,4.551895926852012e-06,5695.12158203125,4.551895926852012e-06,1070.1066149971296,2124.259647803074,41,141,21,51,10,19,12,5,11,2,9,5,5
4,Blues,21.84462243584136,0.09149877727031708,67244,0.001955343107443351,21.466338127703892,0.2697201968878622,135.99917763157896,1.3808124094794039e-05,89.14987182617188,1.3808124094794039e-05,1835.0042655120708,3524.5756711318154,80,172,-17,46,5,11,6,-3,4,-7,2,0,0
5,Blues,30.06046703488205,0.10345406830310822,62349,0.002523526898082045,22.545831032800717,0.25825929268123476,112.34714673913044,1.1806589100160636e-05,130.1294403076172,1.1806589100160636e-05,1831.993939606849,3422.805056826421,76,156,-9,43,14,8,14,0,3,3,5,2,1
6,Blues,59.05878461580119,0.1420527696609497,48422,0.006147604484194631,23.429540221028677,0.2553834565724259,123.046875,1.7667496649664827e-05,-315.09521484375,1.7667496649664827e-05,1459.3664716957649,2739.7878412304235,43,172,27,27,2,-2,5,5,10,9,11,8,4
7,Blues,46.87031616399516,0.1318197399377823,40721,0.0004647837299148432,22.442509342348426,0.25444574486961924,92.28515625,1.6171430615941063e-05,-484.82904052734375,1.6171430615941063e-05,1451.6670658428177,2904.5426583345416,56,174,5,41,8,-3,9,9,13,9,7,6,8
8,Blues,44.47857585704527,0.14241597056388855,42463,0.011338417305039369,22.380886050057644,0.2757371542065279,83.35433467741936,1.271198834729148e-05,2924.841796875,1.271198834729148e-05,1719.3689480431462,3745.236878715922,128,160,-28,65,-15,16,10,5,16,3,10,1,4
9,Blues,22.39244758994844,0.0812966600060463,52496,0.0027580600219264274,21.16195009433464,0.26253923159248255,129.19921875,1.335850447503617e-05,102.27374267578125,1.335850447503617e-05,1817.15086312572,3824.724874474333,45,149,-16,44,8,11,21,6,8,-1,3,0,0
10,Blues,60.49571850045312,0.14279545843601227,41735,0.0026896411642052345,21.09467394314581,0.26015312580642896,161.4990234375,1.0396095603937283e-05,510.6048889160156,1.0396095603937283e-05,1409.9552556449528,2708.2291251268853,61,169,9,34,15,8,10,0,6,3,2,0,-3
11,Blues,13.955628872312133,0.0657639279961586,29035,0.0008478420171124672,20.80644364103354,0.24260402920260715,161.4990234375,3.4575152767502004e-06,1170.8922119140625,3.4575152767502004e-06,1352.6596654421635,2685.080515425609,-31,132,7,41,16,11,18,6,10,7,6,8,6
12,Blues,37.26285263771188,0.1190679594874382,45791,0.0033361819393334393,22.135715777506615,0.2628012305822241,92.28515625,3.254920375184156e-05,-83.49163818359375,3.254920375184156e-05,1360.6411972395076,2695.172643108324,39,164,4,26,0,14,24,10,15,0,1,6,5
13,Blues,34.76397017352542,0.11308177560567856,34037,0.0010228071389603009,21.419758234197882,0.26352715265637383,107.666015625,2.8842760002589785e-05,-160.40867614746094,2.8842760002589785e-05,1324.2932181481008,2640.54858568373,51,131,1,52,-3,17,23,11,20,0,3,2,5
14,Blues,14.75423875057255,0.06705513596534729,29867,0.0038376314769742017,21.62806215006197,0.264239062158417,151.99908088235293,0.0001537006755825132,337.8104248046875,0.0001537006755825132,1171.8482269140325,2132.378314874565,-35,119,17,34,8,12,21,10,16,5,1,7,7
15,Blues,19.088701582757015,0.08054258674383163,42246,0.0012342978314941605,21.36767090105909,0.26825130831189525,99.38401442307692,5.3409683459904045e-05,99.86504364013672,5.3409683459904045e-05,1420.365165134007,2823.5724854082077,23,134,11,34,1,11,22,9,15,0,-2,3,3
16,Blues,18.961057816966044,0.0815262719988823,40653,0.004713498481175487,21.065897048310305,0.2804915305891303,103.359375,6.6742992203217e-05,157.29466247558594,6.6742992203217e-05,1454.963940975512,2893.068275540168,27,136,1,48,-2,14,19,4,15,-1,2,4,4
17,Blues,22.214100196721517,0.09325940161943436,32025,0.0035296931760732506,21.72337789389456,0.27651133632910874,161.4990234375,4.222436109557748e-05,117.34854125976562,4.222436109557748e-05,1088.8442297527454,2091.6267695946926,-3,158,19,28,4,8,21,17,21,8,2,5,5
18,Blues,19.03988950102917,0.07971350103616714,37192,0.004448442575259187,21.723589550557097,0.25888531096948375,83.35433467741936,0.00011530256597325206,128.3450469970703,0.00011530256597325206,1537.5876985238351,3355.540859284368,25,115,-4,52,1,18,22,7,17,0,5,4,5
19,Blues,24.77192769240058,0.097730353474617,39001,0.0014671573193691671,21.486266356019396,0.27297602419815653,123.046875,9.645686077419668e-05,-13.553682327270508,9.645686077419668e-05,1195.4703757774469,2183.0887584287993,8,153,15,34,2,15,24,10,14,0,2,8,4
20,Blues,16.77123447048868,0.0754919946193695,34903,0.0020194662620691595,20.078770330332667,0.2769833604763209,135.99917763157896,4.512677332968451e-05,58.34576416015625,4.512677332968451e-05,1390.3015575567931,2882.1101567031615,27,132,-1,57,-3,19,19,7,17,0,5,1,4
21,Blues,27.517048814207303,0.10111032426357269,31738,0.0025481935152485606,22.154408106732,0.2550046849853949,99.38401442307692,4.136422649025917e-05,636.60546875,4.136422649025917e-05,1046.550010524021,1767.8293462695765,-14,141,16,47,5,16,24,11,17,0,1,6,8
22,Blues,33.83595033602176,0.11345355212688446,38786,0.00566654175798991,22.290297124176327,0.26261930912563963,99.38401442307692,4.0179966163123026e-05,937.2811889648438,4.0179966163123026e-05,1155.7812208677854,2115.5581020700406,14,148,15,38,5,14,26,12,15,0,-1,5,7
23,Blues,28.53721238361381,0.1021619588136673,34748,0.0030658522133809184,21.832939923441973,0.25794782661255106,95.703125,7.177695806603879e-05,229.42172241210938,7.177695806603879e-05,1209.9878628923966,2453.810916201421,13,173,7,21,8,18,17,8,18,9,7,2,4
24,Blues,20.59627309638195,0.0869116261601448,31355,0.0015350755986791428,21.7259650407811,0.23341980087980504,103.359375,5.907772356295027e-05,66.46599578857422,5.907772356295027e-05,1120.0194669331925,2231.859048723898,-26,162,15,9,14,17,19,14,18,12,9,10,6
25,Blues,22.639269141416992,0.0891924649477005,34247,0.001832879592847996,21.030231400439224,0.26027358853405835,92.28515625,2.769968205029727e-06,329.1202392578125,2.769968205029727e-06,1109.3527843880802,2188.3096858686195,0,151,20,12,10,14,21,14,16,15,11,9,4
26,Blues,24.339085744777364,0.07715582102537155,34416,0.002710369990587837,21.97429464119826,0.23808334841536194,83.35433467741936,4.955898839398287e-05,-94.0936050415039,4.955898839398287e-05,1198.4590845429234,2319.3158284694027,-18,125,25,12,18,12,15,19,16,9,6,7,8
27,Blues,23.260177118754104,0.09588608890771866,48044,0.0009715691640679123,23.025399134062422,0.23993515714987274,95.703125,5.327604230842553e-05,171.00582885742188,5.327604230842553e-05,1391.8419520071109,2752.3363861296402,12,184,0,13,10,13,16,11,21,10,4,5,5
28,Blues,28.54382873800694,0.09965353459119797,31841,0.0020189118696802813,21.407568386525273,0.24922116270080424,103.359375,1.6769310605013743e-05,-133.4452362060547,1.6769310605013743e-05,1115.728201941125,2214.913933349043,-5,162,26,17,8,6,18,13,12,10,8,10,7
29,Blues,41.684352677632155,0.12480393797159195,35070,0.002940722659667796,26.455322190277556,0.24904393618384787,129.19921875,3.6274068406783044e-06,-907.0796508789062,3.6274068406783044e-06,1648.8351694525165,3629.93515262471,50,112,-4,81,4,14,19,10,13,0,13,7,6
30,Blues,65.66630194115508,0.17009226977825165,26097,0.007396366207474473,26.84368772652961,0.2453182887550851,143.5546875,1.855756977420242e-06,-1671.3983154296875,1.855756977420242e-06,1379.1893819362376,2953.246333925464,68,121,0,85,9,11,23,11,17,8,9,5,4
31,Blues,53.490629435521214,0.1514771282672882,28469,0.003084179629277139,27.93086441584838,0.2282158172801834,151.99908088235293,6.000062739985879e-07,-1503.1680908203125,6.000062739985879e-07,1330.715617463902,2821.9737325079755,52,124,0,78,6,15,17,12,19,3,12,9,5
32,Blues,29.037386706820076,0.10142476856708527,26114,0.003030310999709082,26.988943524511118,0.2314105910825468,123.046875,1.4141110113996547e-06,-343.6456604003906,1.4141110113996547e-06,1309.3824080697568,2608.6734497353536,-5,110,9,69,15,13,17,5,12,8,13,7,6
33,Blues,40.91944676524221,0.13317778706550598,27801,0.0028836911889305204,27.165771619047316,0.22926263789819226,151.99908088235293,3.5187974845030112e-06,-917.5032958984375,3.5187974845030112e-06,1430.49243281529,3161.000942575406,44,110,-4,87,14,19,23,10,17,4,14,8,5
