,Genre,Energy,RMSE,ZCR,CQT,Spectral_Contrast,Chromagram,Tempo,STFT,Autocorrelation,STFT,Spectral_Centroid,Rolloff,MFCCS0,MFCCS1,MFCCS2,MFCCS3,MFCCS4,MFCCS5,MFCCS6,MFCCS7,MFCCS8,MFCCS9,MFCCS10,MFCCS11,MFCCS12
0,Blues,92.14176104330572,0.003776744706556201,55050,0.3368265913054735,76.74183396919804,0.011514577074600066,123.046875,3.8135836124420166,3877431.75,3.8135836124420166,129774.06452515078,896939.3721851954,2564,295,235,151,167,89,67,68,82,63,61,51,41
1,Blues,40.73649121545279,0.0029552665073424578,37156,0.3347765516610663,67.8515200517476,0.01872358698644723,107.666015625,2.248241424560547,2195075.5,2.248241424560547,375850.0736486864,3070002.497971498,7764,560,572,264,279,156,200,142,166,104,105,96,64
2,Blues,141.07593382568436,0.004015178419649601,50560,0.4754365714802923,76.13071739532785,0.014513800568246246,161.4990234375,6.419034481048584,9031198.0,6.419034481048584,156467.6433683158,782414.555832556,3319,508,411,144,155,74,106,106,65,67,57,64,60
3,Blues,225.4564621424749,0.007233300246298313,22060,1.0483094541557527,63.38462578454082,0.03259110591867292,172.265625,5.0274128913879395,63348092.0,5.0274128913879395,184355.9424169546,1471923.54153387,5507,456,257,158,268,126,155,81,92,71,110,48,56
4,Blues,43.61074603074233,0.002806230215355754,67244,0.0642287099522335,62.98618598696733,0.014609464489857836,135.99917763157896,2.045973539352417,726777.625,2.045973539352417,343399.9392740415,1612967.6722700195,5195,853,333,193,336,134,93,124,130,99,80,86,89
5,Blues,152.15228860336026,0.004469434265047312,62349,0.11689133688820669,66.86015589816144,0.02220916684891803,112.34714673913044,2.811591625213623,2230009.0,2.811591625213623,1030482.3696398635,3302139.2577390103,7307,3195,654,485,433,266,169,133,172,100,76,78,80
6,Blues,443.803360649944,0.0100508201867342,48422,0.2533205007300682,49.51468054631125,0.02649603981327073,123.046875,5.528385639190674,7559989.5,5.528385639190674,437859.39805114287,1674208.2029743528,9656,1932,1307,480,1083,280,152,102,130,153,87,64,79
7,Blues,232.82425693996717,0.0065408870577812195,40721,0.2628406126758261,52.42344899011513,0.02517922955455575,92.28515625,4.391319274902344,9919334.0,4.391319274902344,449568.162454415,1613657.8111430728,6573,1479,591,352,650,136,163,151,171,178,147,83,93
8,Blues,59.83740579962965,0.0022712592035531998,42463,0.6662899301746878,89.2109900889262,0.01679806726681176,83.35433467741936,4.191394805908203,16133695.0,4.191394805908203,163282.8454389628,1256275.6376226475,2622,414,341,193,177,107,57,77,42,58,48,56,61
9,Blues,77.04819383115087,0.004615670070052147,52496,0.08938416446527472,63.30331397640817,0.02270277038719819,129.19921875,2.0978941917419434,1250704.25,2.0978941917419434,298236.14122231567,1353441.559182491,6133,798,668,350,531,278,126,68,110,92,84,104,76
